census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06071010423,1.7336030049118751,6,06071, San Bernardino County,CA,10423,104.23,3461,37.1%,56.6,17.8%,2.3%
06071008302,1.7306028266512836,6,06071, San Bernardino County,CA,8302,83.02,3467,25.2%,42.1,10.7%,2.2%
06071001808,1.7226528854435832,8,06071, San Bernardino County,CA,1808,18.08,4644,11.5%,32.3,66.8%,9.5%
06071002306,1.7161068889433686,7,06071, San Bernardino County,CA,2306,23.06,4079,16.2%,33.7,73.3%,10.5%
06071008301,1.7128620367486764,11,06071, San Bernardino County,CA,8301,83.01,6422,27.6%,44.3,27.0%,1.3%
06071009910,1.7091095539224066,10,06071, San Bernardino County,CA,9910,99.1,5851,14.1%,29.6,61.6%,10.3%
06071010022,1.7050298380221653,8,06071, San Bernardino County,CA,10022,100.22,4692,15.1%,31.3,51.1%,1.1%
06071000108,1.6883336147222692,10,06071, San Bernardino County,CA,108,1.08,5923,11.4%,31.8,31.2%,4.4%
06071001002,1.6866250632484399,10,06071, San Bernardino County,CA,1002,10.02,5929,9.1%,28.5,82.2%,7.5%
06071010024,1.6809861785580873,9,06071, San Bernardino County,CA,10024,100.24,5354,18.5%,37.5,35.7%,3.0%
06071002033,1.6808895784846134,13,06071, San Bernardino County,CA,2033,20.33,7734,13.7%,34.2,40.9%,8.2%
06071009709,1.6523959741625356,11,06071, San Bernardino County,CA,9709,97.09,6657,15.8%,33,45.8%,7.2%
06071000808,1.643655489809336,10,06071, San Bernardino County,CA,808,8.08,6084,17.8%,39,47.9%,3.5%
06071004302,1.6415868673050615,6,06071, San Bernardino County,CA,4302,43.02,3655,18.7%,32.5,79.8%,8.0%
06071009708,1.6399416909620992,9,06071, San Bernardino County,CA,9708,97.08,5488,22.0%,41.5,21.4%,1.5%
