census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06073013505,1.0570824524312896,6,06073, San Diego County,CA,13505,135.05,5676,16.8%,34.6,25.4%,17.0%
06073008901,1.055223355610271,6,06073, San Diego County,CA,8901,89.01,5686,11.4%,32.6,30.2%,5.7%
06073003502,1.051745898190997,5,06073, San Diego County,CA,3502,35.02,4754,9.7%,30,85.6%,8.8%
06073003208,1.0513667768098527,7,06073, San Diego County,CA,3208,32.08,6658,17.4%,35.1,38.4%,17.9%
06073021302,1.050420168067227,8,06073, San Diego County,CA,21302,213.02,7616,13.2%,37.1,38.3%,11.0%
06073020025,1.0479983232026828,5,06073, San Diego County,CA,20025,200.25,4771,18.3%,36.2,30.7%,1.1%
06073003301,1.0471204188481678,4,06073, San Diego County,CA,3301,33.01,3820,6.7%,26.9,74.6%,21.3%
06073015502,1.0384215991692627,3,06073, San Diego County,CA,15502,155.02,2889,21.7%,42.7,8.0%,0.0%
06073013410,1.0221029768749201,8,06073, San Diego County,CA,13410,134.1,7827,14.7%,37,45.7%,5.4%
06073015704,1.016260162601626,4,06073, San Diego County,CA,15704,157.04,3936,15.3%,33.9,35.0%,11.1%
06073008002,0.9986684420772304,3,06073, San Diego County,CA,8002,80.02,3004,17.5%,39.3,9.9%,0.6%
06073003601,0.998003992015968,3,06073, San Diego County,CA,3601,36.01,3006,10.0%,30.1,85.1%,11.0%
06073020404,0.9950248756218905,5,06073, San Diego County,CA,20404,204.04,5025,20.3%,37.9,35.9%,4.3%
06073001200,0.9938711280437302,6,06073, San Diego County,CA,1200,12,6037,9.2%,33.1,43.6%,8.6%
06073015601,0.9928843289756742,6,06073, San Diego County,CA,15601,156.01,6043,14.1%,34.2,27.6%,1.3%
06073017034,0.9893153937475268,5,06073, San Diego County,CA,17034,170.34,5054,13.5%,35.9,17.0%,2.3%
06073013311,0.9877873563218392,11,06073, San Diego County,CA,13311,133.11,11136,11.7%,35.7,51.3%,4.9%
06073013909,0.9865824782951855,5,06073, San Diego County,CA,13909,139.09,5068,17.9%,35.1,53.8%,5.5%
06073009106,0.9780907668231612,5,06073, San Diego County,CA,9106,91.06,5112,8.1%,20,24.7%,3.6%
06073013908,0.970873786407767,4,06073, San Diego County,CA,13908,139.08,4120,9.9%,31.9,60.0%,7.9%
06073010011,0.9675858732462506,4,06073, San Diego County,CA,10011,100.11,4134,16.0%,36,66.0%,10.8%
06073001100,0.946969696969697,3,06073, San Diego County,CA,1100,11,3168,10.7%,34.9,19.2%,8.9%
06073001800,0.9230201218386561,5,06073, San Diego County,CA,1800,18,5417,12.5%,32.6,35.9%,13.8%
06073002902,0.9212950776520137,7,06073, San Diego County,CA,2902,29.02,7598,10.8%,28.8,31.0%,12.4%
06073003109,0.9208103130755064,3,06073, San Diego County,CA,3109,31.09,3258,22.0%,35.8,9.7%,8.0%
06073010010,0.9206407659731173,5,06073, San Diego County,CA,10010,100.1,5431,24.7%,41.5,77.4%,2.3%
