geo_id,census_tract,tract_name,population,hispanic_pp,black_pp,hispanic_pp_pct,black_pp_pct
1400000US06037121010,06037121010,"Census Tract 1210.10, Los Angeles County, California",4737,2746,23,57.969178805150946,0.4855393709098586
1400000US06037121020,06037121020,"Census Tract 1210.20, Los Angeles County, California",3701,2313,79,62.496622534450154,2.1345582275060795
1400000US06037121101,06037121101,"Census Tract 1211.01, Los Angeles County, California",3128,2220,24,70.97186700767263,0.7672634271099744
1400000US06037121102,06037121102,"Census Tract 1211.02, Los Angeles County, California",2247,1126,39,50.11125945705385,1.7356475300400533
1400000US06037121210,06037121210,"Census Tract 1212.10, Los Angeles County, California",3077,2222,38,72.21319467013325,1.2349691257718558
1400000US06037121221,06037121221,"Census Tract 1212.21, Los Angeles County, California",2379,1930,33,81.12652374947457,1.3871374527112232
1400000US06037121222,06037121222,"Census Tract 1212.22, Los Angeles County, California",4688,4007,31,85.47354948805462,0.6612627986348123
1400000US06037121600,06037121600,"Census Tract 1216, Los Angeles County, California",2838,874,21,30.79633544749824,0.7399577167019027
1400000US06037121801,06037121801,"Census Tract 1218.01, Los Angeles County, California",3165,2479,77,78.32543443917851,2.432859399684044
1400000US06037121802,06037121802,"Census Tract 1218.02, Los Angeles County, California",3088,1954,227,63.27720207253886,7.351036269430051
1400000US06037121900,06037121900,"Census Tract 1219, Los Angeles County, California",3686,3005,35,81.5246880086815,0.9495387954422138
1400000US06037122000,06037122000,"Census Tract 1220, Los Angeles County, California",5390,2300,102,42.67161410018553,1.8923933209647494
1400000US06037122120,06037122120,"Census Tract 1221.20, Los Angeles County, California",4772,3816,164,79.96647108130763,3.4367141659681475
1400000US06037122121,06037122121,"Census Tract 1221.21, Los Angeles County, California",2909,2298,181,78.99621863183225,6.22206943966999
1400000US06037122122,06037122122,"Census Tract 1221.22, Los Angeles County, California",2644,2519,0,95.27231467473524,0.0
1400000US06037122200,06037122200,"Census Tract 1222, Los Angeles County, California",3542,2640,12,74.53416149068323,0.33879164313946925
1400000US06037122410,06037122410,"Census Tract 1224.10, Los Angeles County, California",3471,2803,104,80.75482569864593,2.9962546816479403
1400000US06037122420,06037122420,"Census Tract 1224.20, Los Angeles County, California",5029,3976,62,79.06144362696361,1.2328494730562736
1400000US06037123010,06037123010,"Census Tract 1230.10, Los Angeles County, California",3911,3308,36,84.58194835080542,0.9204806954743032
1400000US06037123020,06037123020,"Census Tract 1230.20, Los Angeles County, California",3028,2713,33,89.59709379128138,1.0898282694848085
1400000US06037123103,06037123103,"Census Tract 1231.03, Los Angeles County, California",3816,2038,215,53.40670859538784,5.634171907756813
1400000US06037123104,06037123104,"Census Tract 1231.04, Los Angeles County, California",4848,2674,137,55.15676567656765,2.825907590759076
1400000US06037123203,06037123203,"Census Tract 1232.03, Los Angeles County, California",3446,2669,199,77.45211839814277,5.774811375507835
1400000US06037123204,06037123204,"Census Tract 1232.04, Los Angeles County, California",3508,2706,100,77.13797035347777,2.8506271379703536
1400000US06037123205,06037123205,"Census Tract 1232.05, Los Angeles County, California",2716,1950,85,71.79675994108983,3.12960235640648
1400000US06037123206,06037123206,"Census Tract 1232.06, Los Angeles County, California",2323,1836,24,79.03572965992251,1.0331467929401636
1400000US06037123301,06037123301,"Census Tract 1233.01, Los Angeles County, California",4467,1740,275,38.952316991269306,6.1562569957465865
1400000US06037123303,06037123303,"Census Tract 1233.03, Los Angeles County, California",2860,1638,40,57.27272727272727,1.3986013986013985
1400000US06037123304,06037123304,"Census Tract 1233.04, Los Angeles County, California",4581,2060,55,44.968347522375026,1.2006112202575856
1400000US06037123410,06037123410,"Census Tract 1234.10, Los Angeles County, California",3861,1401,130,36.28593628593629,3.3670033670033668
1400000US06037123420,06037123420,"Census Tract 1234.20, Los Angeles County, California",5015,2873,248,57.28813559322033,4.945164506480558
1400000US06037123510,06037123510,"Census Tract 1235.10, Los Angeles County, California",5200,2662,143,51.19230769230769,2.75
1400000US06037123520,06037123520,"Census Tract 1235.20, Los Angeles County, California",2799,1610,5,57.52054305108968,0.17863522686673813
1400000US06037123601,06037123601,"Census Tract 1236.01, Los Angeles County, California",4961,1595,265,32.15077605321508,5.341664986897803
1400000US06037123602,06037123602,"Census Tract 1236.02, Los Angeles County, California",3435,993,406,28.90829694323144,11.819505094614264
1400000US06037123700,06037123700,"Census Tract 1237, Los Angeles County, California",4612,1441,387,31.244579358196013,8.391153512575888
1400000US06037123800,06037123800,"Census Tract 1238, Los Angeles County, California",5941,1664,185,28.00875273522976,3.1139538798182125
1400000US06037123901,06037123901,"Census Tract 1239.01, Los Angeles County, California",4862,2619,349,53.866721513780334,7.178116001645414
1400000US06037123902,06037123902,"Census Tract 1239.02, Los Angeles County, California",2653,817,146,30.79532604598568,5.503203920090463
1400000US06037124000,06037124000,"Census Tract 1240, Los Angeles County, California",5225,622,116,11.904306220095693,2.2200956937799043
1400000US06037124102,06037124102,"Census Tract 1241.02, Los Angeles County, California",3600,1490,106,41.388888888888886,2.944444444444444
1400000US06037124103,06037124103,"Census Tract 1241.03, Los Angeles County, California",1889,1186,19,62.78454208575967,1.0058231868713605
1400000US06037124104,06037124104,"Census Tract 1241.04, Los Angeles County, California",2577,1442,104,55.956538610787746,4.03570042685293
